[INIT] Bridge connectat. Preu: 83.0005 | Caixa: 86411.8
[2026-03-01 23:42:53] STATUS -> Preu: 83.5934 | Caixa: 9727.91 | SOL: 926.749
[2026-03-01 23:43:24] STATUS -> Preu: 83.5848 | Caixa: 9727.91 | SOL: 926.749
[2026-03-01 23:43:55] STATUS -> Preu: 83.6887 | Caixa: 9727.91 | SOL: 926.749
[2026-03-01 23:44:25] STATUS -> Preu: 83.8 | Caixa: 9727.91 | SOL: 926.749
[2026-03-01 23:44:56] STATUS -> Preu: 83.7284 | Caixa: 9727.91 | SOL: 926.749
[2026-03-01 23:45:27] STATUS -> Preu: 83.6342 | Caixa: 9727.91 | SOL: 926.749
[2026-03-01 23:45:58] STATUS -> Preu: 83.5768 | Caixa: 9727.91 | SOL: 926.749
[2026-03-01 23:46:29] STATUS -> Preu: 83.737 | Caixa: 9727.91 | SOL: 926.749
[2026-03-01 23:47:00] STATUS -> Preu: 83.6625 | Caixa: 9727.91 | SOL: 926.749
[2026-03-01 23:47:31] STATUS -> Preu: 83.678 | Caixa: 9727.91 | SOL: 926.749
[2026-03-01 23:48:02] STATUS -> Preu: 83.678 | Caixa: 9727.91 | SOL: 926.749
[2026-03-01 23:48:32] STATUS -> Preu: 83.722 | Caixa: 9727.91 | SOL: 926.749
[2026-03-01 23:49:03] STATUS -> Preu: 83.722 | Caixa: 9727.91 | SOL: 926.749
[2026-03-01 23:49:34] STATUS -> Preu: 83.8584 | Caixa: 9727.91 | SOL: 926.749
[2026-03-01 23:50:05] STATUS -> Preu: 83.8285 | Caixa: 9727.91 | SOL: 926.749
[2026-03-01 23:50:36] STATUS -> Preu: 83.725 | Caixa: 9727.91 | SOL: 926.749
[2026-03-01 23:51:07] STATUS -> Preu: 83.7151 | Caixa: 9727.91 | SOL: 926.749
[2026-03-01 23:51:38] STATUS -> Preu: 83.6476 | Caixa: 9727.91 | SOL: 926.749
[2026-03-01 23:52:08] STATUS -> Preu: 83.5805 | Caixa: 9727.91 | SOL: 926.749
